Carrier,Depart,Arrive,Travel Date,Duration,Dep-Time,Arrive-Time,No. of Stops,Fare
Air Asia,New Delhi,Mumbai,"Sun, 10 Oct",5h 55m,16:15,22:10,1 Stop,"5,953"
Air Asia,New Delhi,Mumbai,"Sun, 10 Oct",6h 00m,05:20,11:20,1 Stop,"5,953"
Air Asia,New Delhi,Mumbai,"Sun, 10 Oct",6h 35m,09:25,16:00,1 Stop,"5,953"
Air Asia,New Delhi,Mumbai,"Sun, 10 Oct",11h 45m,18:35,"06:20
+ 1 day",1 Stop,"5,953"
Air Asia,New Delhi,Mumbai,"Sun, 10 Oct",14h 05m,16:15,"06:20
+ 1 day",1 Stop,"5,953"
Air Asia,New Delhi,Mumbai,"Sun, 10 Oct",14h 10m,08:00,22:10,1 Stop,"5,953"
Go First,New Delhi,Mumbai,"Sun, 10 Oct",2h 05m,09:30,11:35,Non Stop,"5,954"
Go First,New Delhi,Mumbai,"Sun, 10 Oct",2h 05m,14:20,16:25,Non Stop,"5,954"
Go First,New Delhi,Mumbai,"Sun, 10 Oct",2h 05m,18:40,20:45,Non Stop,"5,954"
Go First,New Delhi,Mumbai,"Sun, 10 Oct",2h 05m,20:00,22:05,Non Stop,"5,954"
Go First,New Delhi,Mumbai,"Sun, 10 Oct",2h 05m,22:45,"00:50
+ 1 day",Non Stop,"5,954"
Go First,New Delhi,Mumbai,"Sun, 10 Oct",5h 50m,13:30,19:20,1 Stop,"5,954"
Go First,New Delhi,Mumbai,"Sun, 10 Oct",6h 45m,12:35,19:20,1 Stop,"5,954"
Vistara,New Delhi,Mumbai,"Sun, 10 Oct",2h 00m,06:00,08:00,Non Stop,"5,955"
Air India,New Delhi,Mumbai,"Sun, 10 Oct",2h 05m,07:30,09:35,Non Stop,"5,955"
Vistara,New Delhi,Mumbai,"Sun, 10 Oct",2h 05m,09:30,11:35,Non Stop,"5,955"
IndiGo,New Delhi,Mumbai,"Sun, 10 Oct",2h 05m,20:30,22:35,Non Stop,"5,955"
IndiGo,New Delhi,Mumbai,"Sun, 10 Oct",2h 10m,06:10,08:20,Non Stop,"5,955"
Air India,New Delhi,Mumbai,"Sun, 10 Oct",2h 10m,10:40,12:50,Non Stop,"5,955"
Air India,New Delhi,Mumbai,"Sun, 10 Oct",2h 10m,20:00,22:10,Non Stop,"5,955"
IndiGo,New Delhi,Mumbai,"Sun, 10 Oct",2h 10m,21:55,"00:05
+ 1 day",Non Stop,"5,955"
SpiceJet,New Delhi,Mumbai,"Sun, 10 Oct",2h 15m,06:50,09:05,Non Stop,"5,955"
Vistara,New Delhi,Mumbai,"Sun, 10 Oct",2h 15m,07:30,09:45,Non Stop,"5,955"
Air India,New Delhi,Mumbai,"Sun, 10 Oct",2h 15m,09:00,11:15,Non Stop,"5,955"
Vistara,New Delhi,Mumbai,"Sun, 10 Oct",2h 15m,19:45,22:00,Non Stop,"5,955"
SpiceJet,New Delhi,Mumbai,"Sun, 10 Oct",2h 15m,21:10,23:25,Non Stop,"5,955"
Vistara,New Delhi,Mumbai,"Sun, 10 Oct",2h 20m,08:50,11:10,Non Stop,"5,955"
SpiceJet,New Delhi,Mumbai,"Sun, 10 Oct",2h 20m,20:20,22:40,Non Stop,"5,955"
SpiceJet,New Delhi,Mumbai,"Sun, 10 Oct",3h 35m,06:35,10:10,1 Stop,"5,955"
Air Asia,New Delhi,Mumbai,"Sun, 10 Oct",2h 20m,19:55,22:15,Non Stop,"5,956"
